source_channel,video_title,comment_text,target,stance,sentiment,tone,topic,interpretation_problem,reason
CălinGeorgescu-CanalulOficial,Călin Georgescu - Pacea de la București ( IPJ - 25.08.2025 ),"Multă sănătate dl. Președinte Călin Georgescu. Noi mergem până la capăt și vă dorim să fiți acceptat măcar președinte de scară de bloc. Și să nu fugiți în Dubai, rămâneți alături de noi. 🇷🇴",Călin Georgescu,contra,negativ,sarcastic,Alegerea lui Călin Georgescu ca președinte,"Sarcasmul este evident în dorința ironică de a-l vedea 'președinte de scară de bloc' și în sugestia de a nu fugi în Dubai, implicând o lipsă de încredere în capacitatea sa de a conduce țara.",
@CălinGeorgescu-CanalulOficial,Călin Georgescu - De ce vorbim despre Eminescu când ne e greu? ( 2026.01.15 ),"Un discurs care trebuia sa vina de la Cotroceni! Multumim, d_le Calin Georgescu!",Călin Georgescu,pro,pozitiv,informativ,"Aprecierea unui discurs susținut de Călin Georgescu, sugerând că ar fi trebuit să fie rostit de la Cotroceni (Președinție).",Lipsa contextului discursului face dificilă o analiză mai aprofundată a motivelor pentru care se consideră că ar fi trebuit rostit de la Cotroceni.,
RecorderRomania,"Primarul Negoiță a construit șosele peste magistralele de gaz. „La o explozie, nu mai rămâne nimic!”",Autoritatile abilitate sa intervina!!! De aceea sunt platiti de noi! Multumim recorder!!❤,Autoritățile,contra,negativ,emotional,Inacțiunea autorităților și rolul presei de investigație,Lipsa contextului specific despre ce intervenție este vorba și ce anume a investigat Recorder.,
RecorderRomania,"Primarul Negoiță a construit șosele peste magistralele de gaz. „La o explozie, nu mai rămâne nimic!”",In acest moment mai putem spune doar Dumnezeu sa ii apere pe cei care stau acolo sau trec pe acolo cu masina 😩,Persoanele care se află sau trec prin zona respectivă,Neutru,Negativ,Emoțional,Siguranța/pericolul într-o anumită zonă,Lipsa contextului despre ce zonă este vorba și de ce ar fi periculoasă.,
RecorderRomania,DOCUMENTAR RECORDER. Singuri,"E dureros.. e crunt.. simt vinovatie si recunostinta in acelasi timp pentru ca mie nu mi-a lipsit dragostea mamei si caldura familiei. Imi pare atat de rau ca nu toti au avut parte de asta ....cel mai tare doare ca ei traiesc cu traumele astea toata viata. Trecem pe langa oameni pe strada si in ignoranta noastra poate judecam cu superficialitate un gest, un cuvant urat pe care il auzim, dar nici prin minte nu ne trece ca omul acela altceva nu a vazut, nu a auzit.. sunt ingrozita de acest sistem bolnav care nu face nimic bun.. ""protectia copilului"".... ce-o mai fi si aia...Multumim, Recorder pentru ca ne puneti fata in fata cu o realitate de care nu suntem constienti!",Sistemul de protecție a copilului și societatea în general,contra,negativ,emoțional,Trauma copiilor neglijați sau abuzați și eșecul sistemului de protecție socială,"Nu există probleme majore de interpretare, comentariul este clar și direct în exprimarea sentimentelor.",
RecorderRomania,Lecție de curaj. Conferința care a zguduit justiția din România,Cite dosare ați judecat și nu ați recuperat nici un prejudiciu,Judecători/Sistemul judiciar,contra,negativ,acuzator,Ineficiența sistemului judiciar în recuperarea prejudiciilor,"Lipsa contextului specific (ce dosare, ce prejudicii, cine face acuzația) face dificilă o analiză mai nuanțată, dar acuzația este clară.",
turcescu111,"Frică, foame, sărăcie ","Totul duce către: Noua Ordine Mondială, pentru a subjuga întreaga omenire..... Ei, și prin Agenda 2030, carmuieste într-acolo..... Și da, vor să ne omoare 90% din populatie.... Da, așa este o 'crimă' mondială, al treilea război mondial.","Noua Ordine Mondială, Agenda 2030",contra,negativ,conspirativ,Teorii ale conspirației despre controlul global și depopulare,"Comentariul se bazează pe teorii ale conspirației nefondate, prezentate ca fapte. Limbajul este emoțional și alarmist, fără a oferi dovezi sau argumente raționale. Există o ambiguitate în ceea ce privește cine anume reprezintă 'ei', dar intenția de a descrie o amenințare globală este clară.",
RecorderRomania,"Primarul Negoiță a construit șosele peste magistralele de gaz. „La o explozie, nu mai rămâne nimic!”","Un hot corupt arogant si nesimtit, caruia nimeni nu-i face nimic! 😡 Este ingrozitor!","O persoană neidentificată, descrisă ca fiind coruptă, arogantă și nesimțită.",contra,negativ,agresiv,Corupția și impunitatea.,"Ținta este neclară, fiind o descriere generală. Limbajul este emoțional și acuzator, dar lipsesc detalii specifice care să permită o analiză mai aprofundată.",
RecorderRomania,Reportaj Recorder în noaptea alegerilor: Un președinte peste mai multe Românii,"4:30 și încă 1% rămas pentru Crin Alcoolescu, să aibă și el acolo ceva săracul",Crin Antonescu,contra,negativ,sarcastic,Rezultatele electorale ale lui Crin Antonescu,Niciunul,
RecorderRomania,Investigație din interiorul rețelei care te învață cum să păcălești statul #shorts,Vă mai dau niște firme din Galați care au alți administratori dar cu foști patroni,Firme din Galați cu administratori și foști patroni specifici,neutru,neutru,informativ,Informații despre structura administrativă și de proprietate a unor firme din Galați,"Lipsa contextului. Nu se specifică de ce sunt relevante aceste firme sau ce legătură au foștii patroni cu administratorii actuali. Comentariul este o afirmație seacă, fără o analiză sau o concluzie.",
